Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",31.8,32.88,31.61,32.01,32.01,"9,593,100"
"Dec 27, 2024",32.39,33.05,30.73,32.2,32.2,"10,141,700"
"Dec 26, 2024",32.62,34.37,31.6,32.99,32.99,"20,432,900"
"Dec 24, 2024",31,31.59,30.58,31.14,31.14,"5,523,500"
"Dec 23, 2024",29.82,31.11,29.78,30.9,30.9,"8,226,500"
"Dec 20, 2024",28.54,30.52,28.31,29.82,29.82,"19,606,700"
"Dec 19, 2024",29.16,30.6,28.82,29,29,"10,338,200"
"Dec 18, 2024",31.1,31.7,28.34,28.55,28.55,"13,947,300"
"Dec 17, 2024",29.64,31.88,29.64,31.26,31.26,"19,948,100"
"Dec 16, 2024",27.7,29.59,27.27,29.44,29.44,"8,700,000"
"Dec 13, 2024",28.7,28.86,27.92,27.99,27.99,"6,581,600"
"Dec 12, 2024",28.9,29.66,28.58,28.75,28.75,"8,855,700"
"Dec 11, 2024",27.75,30.16,27.51,28.97,28.97,"20,485,000"
"Dec 10, 2024",27.88,28.39,26.85,26.93,26.93,"18,209,400"
"Dec 9, 2024",29,29.86,27.74,27.93,27.93,"11,495,400"
"Dec 6, 2024",29.12,29.35,28.11,29.06,29.06,"15,161,400"
"Dec 5, 2024",27,30.87,26.15,28.63,28.63,"40,704,900"
"Dec 4, 2024",27.07,27.83,26.63,27.03,27.03,"6,387,500"
"Dec 3, 2024",26.55,27.59,26.49,27.44,27.44,"6,009,900"
"Dec 2, 2024",28.96,29.37,26.75,27.27,27.27,"13,576,600"
"Nov 29, 2024",31.01,31.08,28.85,29.05,29.05,"10,473,700"
"Nov 27, 2024",30.8,31.55,30.51,30.89,30.89,"12,895,100"
"Nov 26, 2024",29.4,32.12,28.78,30.33,30.33,"24,657,300"
"Nov 25, 2024",28.05,29.77,27.96,29.67,29.67,"13,090,400"
"Nov 22, 2024",27.88,28.46,27.42,27.9,27.9,"7,975,700"
"Nov 21, 2024",29.09,29.17,27.18,27.82,27.82,"10,587,200"
"Nov 20, 2024",27.26,29.8,27.26,28.45,28.45,"22,089,700"
"Nov 19, 2024",25.89,27.6,25.71,27.57,27.57,"8,698,600"
"Nov 18, 2024",26.65,27.16,25.85,26.44,26.44,"8,494,900"
"Nov 15, 2024",28.08,28.59,26.32,26.59,26.59,"16,451,800"
"Nov 14, 2024",27.17,28.28,26.72,27.37,27.37,"16,502,000"
"Nov 13, 2024",26.26,28.22,26.22,26.46,26.46,"18,490,300"
"Nov 12, 2024",26.06,27.1,24.95,26.84,26.84,"18,972,700"
"Nov 11, 2024",25.26,28.05,24.63,27.26,27.26,"26,633,000"
"Nov 8, 2024",23.44,25.39,23.24,24.88,24.88,"15,908,600"
"Nov 7, 2024",23.07,23.66,22.81,23.45,23.45,"5,554,400"
"Nov 6, 2024",23.31,23.82,22.9,23.1,23.1,"6,648,000"
"Nov 5, 2024",22.32,23.2,22.27,22.99,22.99,"5,858,400"
"Nov 4, 2024",22.2,22.65,21.88,22.33,22.33,"4,300,200"
"Nov 1, 2024",22.4,23.05,22.08,22.41,22.41,"4,744,500"
"Oct 31, 2024",22.83,23.03,22.05,22.18,22.18,"5,594,500"
"Oct 30, 2024",23.4,24.54,22.75,23.28,23.28,"12,383,600"
"Oct 29, 2024",22.7,23.2,22.09,22.68,22.68,"10,078,100"
"Oct 28, 2024",20.84,22.77,20.73,22.73,22.73,"13,641,200"
"Oct 25, 2024",20.65,21.43,20.54,20.57,20.57,"5,989,000"
"Oct 24, 2024",20.63,20.84,20.48,20.63,20.63,"2,682,300"
"Oct 23, 2024",20.73,20.98,20.35,20.54,20.54,"2,945,000"
"Oct 22, 2024",20.62,20.94,20.43,20.93,20.93,"3,232,300"
"Oct 21, 2024",21.1,21.22,20.66,20.7,20.7,"3,956,500"
"Oct 18, 2024",21.41,21.61,20.98,21.22,21.22,"5,302,200"
"Oct 17, 2024",21.5,21.66,21.23,21.41,21.41,"3,015,300"
"Oct 16, 2024",21.13,21.75,21.03,21.66,21.66,"4,264,600"
"Oct 15, 2024",21.45,21.68,20.98,21.27,21.27,"4,851,900"
"Oct 14, 2024",20.75,21.67,20.46,21.33,21.33,"6,636,600"
"Oct 11, 2024",20.66,21.22,20.66,20.83,20.83,"3,931,600"
"Oct 10, 2024",20.47,21.05,20.38,20.91,20.91,"4,180,800"
"Oct 9, 2024",20.5,20.74,20.3,20.5,20.5,"3,914,000"
"Oct 8, 2024",20.9,21.27,20.53,20.71,20.71,"4,840,500"
"Oct 7, 2024",21.35,21.53,20.81,20.9,20.9,"5,988,000"
"Oct 4, 2024",21.48,21.97,21.29,21.4,21.4,"5,286,200"
"Oct 3, 2024",21.36,21.79,21.11,21.2,21.2,"4,665,800"
"Oct 2, 2024",21.86,22.3,21.41,21.49,21.49,"5,673,100"
"Oct 1, 2024",22.95,23.12,21.81,21.97,21.97,"7,189,200"
"Sep 30, 2024",22.3,23.64,22.17,22.93,22.93,"10,161,700"
"Sep 27, 2024",22.39,23.1,21.97,22.48,22.48,"7,416,500"
"Sep 26, 2024",22.4,22.64,21.87,22.29,22.29,"5,777,500"
"Sep 25, 2024",22.16,22.83,22.07,22.18,22.18,"6,139,700"
"Sep 24, 2024",22.61,22.72,21.54,22.63,22.63,"12,121,400"
"Sep 23, 2024",21.54,22.56,21.23,22.31,22.31,"13,969,500"
"Sep 20, 2024",19.63,22.03,19.48,21.85,21.85,"61,919,200"
"Sep 19, 2024",19.89,20.03,19.47,19.51,19.51,"8,902,600"
"Sep 18, 2024",20.05,20.26,19.42,19.65,19.65,"10,728,200"
"Sep 17, 2024",20.24,20.56,19.92,20.16,20.16,"6,307,600"
"Sep 16, 2024",20.45,20.52,19.92,20.09,20.09,"5,981,200"
"Sep 13, 2024",20.49,20.92,20.34,20.65,20.65,"8,053,700"
"Sep 12, 2024",20.47,20.71,19.99,20.4,20.4,"9,539,500"
"Sep 11, 2024",20.82,21.09,19.31,20.64,20.64,"28,921,500"
"Sep 10, 2024",24.77,24.8,23.13,23.45,23.45,"19,175,500"
"Sep 9, 2024",23.24,25.02,23.16,24.25,24.25,"14,064,700"
"Sep 6, 2024",22.4,24.48,21.8,23.92,23.92,"23,884,000"
"Sep 5, 2024",22,22.68,21.66,22.39,22.39,"5,101,200"
"Sep 4, 2024",22.85,23.71,22.11,22.12,22.12,"6,700,900"
"Sep 3, 2024",24.15,24.69,22.82,23.14,23.14,"11,350,500"
"Aug 30, 2024",21.82,23.48,21.73,23.42,23.42,"15,680,700"
"Aug 29, 2024",20.5,22.45,20.47,21.51,21.51,"10,428,400"
"Aug 28, 2024",20.71,21.07,19.88,19.9,19.9,"5,219,500"
"Aug 27, 2024",21.06,21.29,20.66,20.74,20.74,"4,118,800"
"Aug 26, 2024",22.25,22.39,21.3,21.36,21.36,"4,780,500"
"Aug 23, 2024",22.25,22.62,22.18,22.21,22.21,"4,056,700"
"Aug 22, 2024",22.5,22.76,22.09,22.12,22.12,"3,382,500"
"Aug 21, 2024",22.17,22.65,22.16,22.55,22.55,"3,163,200"
"Aug 20, 2024",22.5,22.52,21.96,22.28,22.28,"3,570,300"
"Aug 19, 2024",22.35,23.1,22.32,22.66,22.66,"4,543,500"
"Aug 16, 2024",22.37,22.69,22.24,22.4,22.4,"3,641,800"
"Aug 15, 2024",22.25,22.84,21.97,22.53,22.53,"5,361,400"
"Aug 14, 2024",22.34,22.73,21.79,21.99,21.99,"3,489,400"
"Aug 13, 2024",21.96,22.38,21.86,22.27,22.27,"3,913,700"
"Aug 12, 2024",21.98,22.27,21.45,21.88,21.88,"4,449,100"
"Aug 9, 2024",21.51,22.17,21.46,21.93,21.93,"4,828,900"
"Aug 8, 2024",21.01,21.88,20.81,21.75,21.75,"5,439,700"
"Aug 7, 2024",21.15,21.46,20.38,20.83,20.83,"6,101,100"
"Aug 6, 2024",21.02,21.58,20.26,21.28,21.28,"6,505,300"
"Aug 5, 2024",18.83,20.8,18.73,20.65,20.65,"12,205,900"
"Aug 2, 2024",20.95,21.61,20.43,21.07,21.07,"9,030,000"
"Aug 1, 2024",22.92,23.09,21.56,21.71,21.71,"9,334,400"
"Jul 31, 2024",22.86,23.45,22.61,22.67,22.67,"8,005,800"
"Jul 30, 2024",23.6,23.89,22.34,22.4,22.4,"9,272,400"
"Jul 29, 2024",24.23,24.38,23.54,23.6,23.6,"7,250,200"
"Jul 26, 2024",24.28,24.77,24.11,24.13,24.13,"6,833,900"
"Jul 25, 2024",23.59,24.59,23.36,23.95,23.95,"8,567,700"
"Jul 24, 2024",25.15,25.45,23.93,24.01,24.01,"9,549,200"
"Jul 23, 2024",25.22,25.68,24.89,25.5,25.5,"7,921,700"
"Jul 22, 2024",24.84,25.98,24.38,25.22,25.22,"14,090,400"
"Jul 19, 2024",25.55,26.39,24.85,24.97,24.97,"12,763,300"
